0,0,0,0
1,0.0150403,-2.42489e-05,8.58991e-05
2,0.0301329,-5.52096e-05,0.00047968
3,0.045181,-0.000138979,0.00109804
4,0.0602698,-0.000219461,0.00169069
5,0.0752891,-0.000386189,0.00274166
6,-3.10848e-05,-0.0149669,-0.000515963
7,0.0150117,-0.0150103,-0.000527916
8,0.0301082,-0.0150536,-0.000186306
9,0.0451689,-0.0151416,0.000483104
10,0.0602528,-0.0152447,0.00120329
11,0.075248,-0.0153978,0.00253569
12,-0.000137573,-0.0299418,-0.000902643
13,0.0149482,-0.0300193,-0.000844367
14,0.030032,-0.0300956,-0.000407801
15,0.0450809,-0.0301934,0.000196333
16,0.0601279,-0.0302965,0.000978877
17,0.0752006,-0.0304195,0.00214387
18,-0.000236028,-0.04496,-0.00126877
19,0.0148662,-0.0450331,-0.00102277
20,0.0299658,-0.0451096,-0.000679166
21,0.04504,-0.0452176,-4.40698e-05
22,0.0601276,-0.0453449,0.000762108
23,0.0751406,-0.0454427,0.00185437
